INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2018-01-21T06:00:00-00:00,2018-01-21T07:00:00-00:00,1,2018-01-20,23,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2816.04,DAM,1
2018-01-20T16:00:00-00:00,2018-01-20T17:00:00-00:00,1,2018-01-20,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2931.43,DAM,1
2018-01-20T09:00:00-00:00,2018-01-20T10:00:00-00:00,1,2018-01-20,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2484.74,DAM,1
2018-01-20T23:00:00-00:00,2018-01-21T00:00:00-00:00,1,2018-01-20,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2771.32,DAM,1
2018-01-20T15:00:00-00:00,2018-01-20T16:00:00-00:00,1,2018-01-20,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3018.2,DAM,1
2018-01-20T17:00:00-00:00,2018-01-20T18:00:00-00:00,1,2018-01-20,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2843.45,DAM,1
2018-01-20T20:00:00-00:00,2018-01-20T21:00:00-00:00,1,2018-01-20,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2626.35,DAM,1
2018-01-20T10:00:00-00:00,2018-01-20T11:00:00-00:00,1,2018-01-20,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2490.49,DAM,1
2018-01-20T14:00:00-00:00,2018-01-20T15:00:00-00:00,1,2018-01-20,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2932.84,DAM,1
2018-01-20T19:00:00-00:00,2018-01-20T20:00:00-00:00,1,2018-01-20,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2697.29,DAM,1
2018-01-20T21:00:00-00:00,2018-01-20T22:00:00-00:00,1,2018-01-20,14,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2617.07,DAM,1
2018-01-21T01:00:00-00:00,2018-01-21T02:00:00-00:00,1,2018-01-20,18,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3134.38,DAM,1
2018-01-20T11:00:00-00:00,2018-01-20T12:00:00-00:00,1,2018-01-20,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2538.18,DAM,1
2018-01-20T22:00:00-00:00,2018-01-20T23:00:00-00:00,1,2018-01-20,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2665.05,DAM,1
2018-01-21T05:00:00-00:00,2018-01-21T06:00:00-00:00,1,2018-01-20,22,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2931.68,DAM,1
2018-01-20T12:00:00-00:00,2018-01-20T13:00:00-00:00,1,2018-01-20,5,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2644.15,DAM,1
2018-01-21T02:00:00-00:00,2018-01-21T03:00:00-00:00,1,2018-01-20,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3117.23,DAM,1
2018-01-21T07:00:00-00:00,2018-01-21T08:00:00-00:00,1,2018-01-20,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2743.5,DAM,1
2018-01-20T18:00:00-00:00,2018-01-20T19:00:00-00:00,1,2018-01-20,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2754.45,DAM,1
2018-01-21T00:00:00-00:00,2018-01-21T01:00:00-00:00,1,2018-01-20,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2925.9,DAM,1
2018-01-21T03:00:00-00:00,2018-01-21T04:00:00-00:00,1,2018-01-20,20,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3103.39,DAM,1
2018-01-21T04:00:00-00:00,2018-01-21T05:00:00-00:00,1,2018-01-20,21,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3048.97,DAM,1
2018-01-20T13:00:00-00:00,2018-01-20T14:00:00-00:00,1,2018-01-20,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2786.38,DAM,1
