Time,Demand
0,1316.64050224
1,1242.97759936
2,1194.70120336
3,1159.12717312
4,1139.86062008
5,1146.61865136
6,1173.71848888
7,1201.02398976
8,1219.00000544
9,1241.24851984
10,1251.54289848
11,1225.29283968
12,1207.27403888
13,1207.509408
14,1232.24592904
15,1266.81847096
16,1310.8736704
17,1357.86152488
18,1405.28036376
19,1455.6978268
20,1522.48334336
21,1504.44758968
22,1447.40242248
23,1367.31243768
0,1278.90153664
1,1214.16440488
2,1173.8110076
3,1142.80633544
4,1120.47351528
5,1118.75316168
6,1127.54919592
7,1146.54004864
8,1147.68654784
9,1159.58054968
10,1165.90606552
11,1177.93190872
12,1189.6048444
13,1206.66282016
14,1238.54143896
15,1273.77637296
16,1331.4685104
17,1402.1505064
18,1471.1188184
19,1521.06466512
20,1583.15074344
21,1550.50832776
22,1466.26739
23,1354.03141664
0,1246.9831724
1,1190.6121836
2,1161.46742488
3,1134.04201232
4,1130.91735176
5,1162.36904784
6,1240.79382
7,1362.2717864
8,1418.16729488
9,1438.54526872
10,1454.03099128
11,1476.39086952
12,1497.4517012
13,1522.81820656
14,1568.8287552
15,1612.22133576
16,1665.69731104
17,1718.6864352
18,1743.75858104
19,1748.09075
20,1785.20683992
21,1729.06995016
22,1624.35865592
23,1481.72284624
0,1359.15591616
1,1284.15572824
2,1231.18371264
3,1196.1047448
4,1180.2858844
5,1201.45625432
6,1275.24411504
7,1394.66072928
8,1445.48331536
9,1461.09247592
10,1477.69722744
11,1505.90194384
12,1540.9882208
13,1572.0310648
14,1633.97684576
15,1697.70591144
16,1772.1725756
17,1823.41671568
18,1849.07692928
19,1841.71818488
20,1871.73434056
21,1808.47277968
22,1701.87307752
23,1550.47771648
0,1419.7820392
1,1332.902774
2,1274.6260884
3,1230.74611296
4,1214.5858368
5,1236.07151584
6,1307.83788856
7,1418.92520056
8,1471.3855744
9,1497.61668728
10,1521.9420076
11,1555.30578224
12,1592.63363616
13,1632.20617168
14,1706.9069948
15,1788.68522056
16,1862.2735012
17,1923.93556096
18,1939.56245672
19,1915.0440652
20,1928.9291812
21,1852.53442024
22,1723.86118744
23,1571.9892748
0,1439.98989904
1,1342.13490712
2,1285.13041776
3,1242.61197928
4,1215.40762504
5,1226.3421772
6,1281.646786
7,1381.73388136
8,1425.99261224
9,1451.571408
10,1478.25022016
11,1529.86476272
12,1571.15189336
13,1619.5993408
14,1715.62273568
15,1806.3120628
16,1894.2152432
17,1957.03253536
18,1964.27769384
19,1933.2728016
20,1933.9484556
21,1852.32567072
22,1727.36058264
23,1578.56109992
0,1443.84422728
1,1349.38954584
2,1280.8186916
3,1234.7422752
4,1213.55630872
5,1230.73122424
6,1299.5325392
7,1420.67210712
8,1474.32882464
9,1502.19683992
10,1535.955344
11,1563.89823296
12,1604.330434
13,1647.53210888
14,1715.02165016
15,1788.45215752
16,1849.04183688
17,1891.85538584
18,1883.29680784
19,1839.73496672
20,1849.80848024
21,1777.88326912
22,1676.31699368
23,1552.18806848
