Time,Demand
"('0.0',)",1256.15549609
"('1.0',)",1194.32950071
"('2.0',)",1139.3323778
"('3.0',)",1157.97298693
"('4.0',)",1107.63429656
"('5.0',)",1147.53327851
"('6.0',)",1242.2242047
"('7.0',)",1311.09164076
"('8.0',)",1412.51946668
"('9.0',)",1452.68794035
"('10.0',)",1427.77643721
"('11.0',)",1482.27901378
"('12.0',)",1459.33786458
"('13.0',)",1455.27690344
"('14.0',)",1475.75116925
"('15.0',)",1539.80028201
"('16.0',)",1599.82773251
"('17.0',)",1626.83122416
"('18.0',)",1653.51085102
"('19.0',)",1632.84544626
"('20.0',)",1643.87647422
"('21.0',)",1595.30307256
"('22.0',)",1461.66456316
"('23.0',)",1366.94764061
