Time,Demand
0.0, 11014.1997089
3600.0, 11014.4056187
7200.0, 11014.9471266
10800.0, 11015.6865032
14400.0, 11016.5930917
18000.0, 11017.6042967
21600.0, 11018.5659627
25200.0, 11019.3881505
28800.0, 11020.0306
32400.0, 11020.5611613
36000.0, 11021.0367225
39600.0, 11021.5444371
43200.0, 11022.2268579
46800.0, 11023.0249275
50400.0, 11023.8772428
54000.0, 11024.6287707
57600.0, 11025.2213345
61200.0, 11025.5677046
64800.0, 11025.6269087
68400.0, 11025.3903735
72000.0, 11024.8477473
75600.0, 11024.0214334
79200.0, 11023.2653301
82800.0, 11022.7888553
86400.0, 11022.7297439
90000.0, 11023.1098068
93600.0, 11023.8153811
97200.0, 11024.7296967
100800.0, 11025.7876506
104400.0, 11026.9276462
108000.0, 11028.0733355
111600.0, 11029.1541805
115200.0, 11030.1095393
118800.0, 11031.0095096
122400.0, 11031.891211
126000.0, 11032.7767486
129600.0, 11033.689046
133200.0, 11034.6206867
136800.0, 11035.5303799
140400.0, 11036.3359338
144000.0, 11036.9896188
147600.0, 11037.3726325
151200.0, 11037.3719513
154800.0, 11036.9490031
158400.0, 11036.2018613
162000.0, 11035.0702333
165600.0, 11034.0336563
169200.0, 11033.4423445
172800.0, 11033.3980144
176400.0, 11033.8713081
180000.0, 11034.7288833
183600.0, 11035.7337901
187200.0, 11036.8731391
190800.0, 11038.0071695
194400.0, 11038.9980812
198000.0, 11039.6021864
201600.0, 11039.5335063
205200.0, 11039.1036847
208800.0, 11038.6080974
212400.0, 11038.1215946
216000.0, 11037.6540743
219600.0, 11037.1807817
223200.0, 11036.6554923
226800.0, 11035.9326037
230400.0, 11035.0291422
234000.0, 11033.8683396
237600.0, 11032.3810008
241200.0, 11030.6481183
244800.0, 11028.7763262
248400.0, 11026.7501034
252000.0, 11024.9708859
255600.0, 11023.7125731
259200.0, 11023.1791449
262800.0, 11023.2653738
266400.0, 11023.6980455
270000.0, 11024.4071791
273600.0, 11025.277234
277200.0, 11026.2270196
280800.0, 11027.0409098
284400.0, 11027.4950718
288000.0, 11027.2968629
291600.0, 11026.7534993
295200.0, 11026.1069029
298800.0, 11025.4858815
302400.0, 11024.7748249
306000.0, 11023.9395943
309600.0, 11023.0003678
313200.0, 11021.7604463
316800.0, 11020.1702759
320400.0, 11018.1165051
324000.0, 11015.6988326
327600.0, 11013.0054964
331200.0, 11010.2759287
334800.0, 11007.4475179
338400.0, 11004.9725197
342000.0, 11003.0933877
345600.0, 11002.0414481
349200.0, 11001.6551373
352800.0, 11001.6888971
356400.0, 11001.9982007
360000.0, 11002.5423308
363600.0, 11003.1659784
367200.0, 11003.6767298
370800.0, 11003.8210612
374400.0, 11003.3541002
378000.0, 11002.5037256
381600.0, 11001.5427391
385200.0, 11000.52109
388800.0, 10999.4130046
392400.0, 10998.1425122
396000.0, 10996.7174746
399600.0, 10994.9428912
403200.0, 10992.7263786
406800.0, 10990.1348744
410400.0, 10987.137229
414000.0, 10983.9100155
417600.0, 10980.7498329
421200.0, 10977.5911915
424800.0, 10974.8405432
428400.0, 10972.8040674
432000.0, 10971.5911776
435600.0, 10971.0310983
439200.0, 10971.0244288
442800.0, 10971.2699582
446400.0, 10971.7368505
450000.0, 10972.2922834
453600.0, 10972.7811683
457200.0, 10972.9803151
460800.0, 10972.6206187
464400.0, 10971.9224455
468000.0, 10971.1507678
471600.0, 10970.3468271
475200.0, 10969.4124954
478800.0, 10968.3753341
482400.0, 10967.2543634
486000.0, 10965.705627
489600.0, 10963.7287769
493200.0, 10961.2630383
496800.0, 10958.4177308
500400.0, 10955.3805593
504000.0, 10952.3663623
507600.0, 10949.3821472
511200.0, 10946.8331063
514800.0, 10944.9322229
518400.0, 10943.7906337
522000.0, 10943.3160806
525600.0, 10943.3325176
529200.0, 10943.6934666
532800.0, 10944.2842586
536400.0, 10944.9636892
540000.0, 10945.5532518
543600.0, 10945.7661842
547200.0, 10945.2511525
550800.0, 10944.3740261
554400.0, 10943.4727475
558000.0, 10942.6004321
561600.0, 10941.781877
565200.0, 10940.9326249
568800.0, 10940.0298447
572400.0, 10938.9035092
576000.0, 10937.4665486
579600.0, 10935.7762116
583200.0, 10933.7856869
586800.0, 10931.6884906
590400.0, 10929.6273181
594000.0, 10927.3970624
597600.0, 10925.4337496
601200.0, 10923.9413424
604800.0, 10923.0280073
608400.0, 10922.6890108
612000.0, 10922.8165635
615600.0, 10923.2746073
619200.0, 10923.9623894
622800.0, 10924.761031
626400.0, 10925.5645747
630000.0, 10926.2781045
633600.0, 10926.7188577
637200.0, 10926.9820965
640800.0, 10927.0991717
644400.0, 10927.2126542
648000.0, 10927.3492723
651600.0, 10927.5080366
655200.0, 10927.6513243
658800.0, 10927.648128
662400.0, 10927.3812467
666000.0, 10926.7166466
669600.0, 10925.6539405
673200.0, 10924.2548519
676800.0, 10922.7235145
680400.0, 10921.0271054
684000.0, 10919.5658666
687600.0, 10918.4989818
691200.0, 10917.9503219
694800.0, 10917.9373593
698400.0, 10918.3543863
702000.0, 10919.0788852
705600.0, 10920.0237079
709200.0, 10921.1027311
712800.0, 10922.212468
716400.0, 10923.249255
720000.0, 10924.106038
723600.0, 10924.899478
727200.0, 10925.5977943
730800.0, 10926.3297891
734400.0, 10927.0996799
738000.0, 10927.8617404
741600.0, 10928.6143674
745200.0, 10929.2439255
748800.0, 10929.6853942
752400.0, 10929.7707737
756000.0, 10929.4629958
759600.0, 10928.697337
763200.0, 10927.6270614
766800.0, 10926.2012065
770400.0, 10924.9811608
774000.0, 10924.2095503
777600.0, 10924.0574689
781200.0, 10924.4568907
784800.0, 10925.2264091
788400.0, 10926.247718
792000.0, 10927.4117902
795600.0, 10928.5802024
799200.0, 10929.5665104
802800.0, 10930.1562206
806400.0, 10930.0062717
810000.0, 10929.3804332
813600.0, 10928.7057234
817200.0, 10928.1567596
820800.0, 10927.6743783
824400.0, 10927.1971205
828000.0, 10926.6399976
831600.0, 10926.0355785
835200.0, 10925.2777184
838800.0, 10924.3184433
842400.0, 10923.0642969
846000.0, 10921.5515391
849600.0, 10919.7517492
853200.0, 10917.6865063
856800.0, 10915.8915557
860400.0, 10914.6219888
864000.0, 10914.0122315
867600.0, 10913.9828942
871200.0, 10914.457624
874800.0, 10915.2800191
878400.0, 10916.2759515
882000.0, 10917.3083902
885600.0, 10918.16356
889200.0, 10918.634952
892800.0, 10918.3982858
896400.0, 10917.6803076
900000.0, 10916.9792635
903600.0, 10916.4366104
907200.0, 10916.0847168
910800.0, 10915.8933857
914400.0, 10915.8473956
918000.0, 10915.7601366
921600.0, 10915.5530777
925200.0, 10915.1583381
928800.0, 10914.4542482
932400.0, 10913.5188674
936000.0, 10912.2384044
939600.0, 10910.5818351
943200.0, 10909.1819249
946800.0, 10908.2805849
950400.0, 10908.0535355
954000.0, 10908.4002686
957600.0, 10909.1783888
961200.0, 10910.2259207
964800.0, 10911.4377212
968400.0, 10912.659149
972000.0, 10913.7392613
975600.0, 10914.3697589
979200.0, 10914.2031532
982800.0, 10913.6003428
986400.0, 10913.0545182
990000.0, 10912.6804285
993600.0, 10912.4281237
997200.0, 10912.263457
1000800.0, 10912.129086
1004400.0, 10911.8531143
1008000.0, 10911.4161596
1011600.0, 10910.7373198
1015200.0, 10909.7524379
1018800.0, 10908.4266598
1022400.0, 10906.8664365
1026000.0, 10904.9995123
1029600.0, 10903.4582573
1033200.0, 10902.4239257
1036800.0, 10902.106897
1040400.0, 10902.3918212
1044000.0, 10903.1100836
1047600.0, 10904.1170396
1051200.0, 10905.3183082
1054800.0, 10906.5823681
1058400.0, 10907.685441
1062000.0, 10908.379765
1065600.0, 10908.268261
1069200.0, 10907.692728
1072800.0, 10907.1501275
1076400.0, 10906.7525893
1080000.0, 10906.4308753
1083600.0, 10906.1675083
1087200.0, 10905.9106724
1090800.0, 10905.4599134
1094400.0, 10904.7927319
1098000.0, 10903.8684769
1101600.0, 10902.6283865
1105200.0, 10901.0937298
1108800.0, 10899.3485808
1112400.0, 10897.3071606
1116000.0, 10895.4970994
1119600.0, 10894.2315942
1123200.0, 10893.6848504
1126800.0, 10893.7568518
1130400.0, 10894.2994824
1134000.0, 10895.162552
1137600.0, 10896.1911855
1141200.0, 10897.3048137
1144800.0, 10898.2755308
1148400.0, 10898.7924761
1152000.0, 10898.5344559
1155600.0, 10897.7934567
1159200.0, 10897.0441091
1162800.0, 10896.391987
1166400.0, 10895.7999764
1170000.0, 10895.2436685
1173600.0, 10894.7035637
1177200.0, 10893.9436232
1180800.0, 10892.8808683
1184400.0, 10891.549219
1188000.0, 10889.8866141
1191600.0, 10887.9595169
1195200.0, 10885.9934846
1198800.0, 10883.9003896
1202400.0, 10882.1396491
1206000.0, 10880.8765886
1209600.0, 10880.2286451
1213200.0, 10880.198624
1216800.0, 10880.6827524
1220400.0, 10881.5017675
1224000.0, 10882.5515405
1227600.0, 10883.7404423
1231200.0, 10884.9414222
1234800.0, 10885.9736581
1238400.0, 10886.714943
1242000.0, 10887.2121658
1245600.0, 10887.5786982
1249200.0, 10887.9111307
1252800.0, 10888.2522237
1256400.0, 10888.624083
1260000.0, 10888.9672879
1263600.0, 10889.1487281
1267200.0, 10889.0761869
1270800.0, 10888.6317813
1274400.0, 10887.7825229
1278000.0, 10886.553417
1281600.0, 10885.1316289
1285200.0, 10883.5485946
1288800.0, 10882.274102
1292400.0, 10881.4131561
1296000.0, 10881.1214588
1299600.0, 10881.4329253
1303200.0, 10882.2238823
1306800.0, 10883.342865
1310400.0, 10884.7257899
1314000.0, 10886.2384874
1317600.0, 10887.7838645
1321200.0, 10889.2815545
1324800.0, 10890.5795482
1328400.0, 10891.7599257
1332000.0, 10892.8533689
1335600.0, 10893.929502
1339200.0, 10895.0459411
1342800.0, 10896.2029531
1346400.0, 10897.3497998
1350000.0, 10898.375948
1353600.0, 10899.174748
1357200.0, 10899.6435488
1360800.0, 10899.6390845
1364400.0, 10899.0405276
1368000.0, 10898.0381904
1371600.0, 10896.6787728
1375200.0, 10895.5801007
1378800.0, 10894.9336852
1382400.0, 10894.985512
1386000.0, 10895.6664138
1389600.0, 10896.7966583
1393200.0, 10898.2167229
1396800.0, 10899.8417429
1400400.0, 10901.4890384
1404000.0, 10902.9566604
1407600.0, 10903.9497943
1411200.0, 10904.1579633
1414800.0, 10903.8474767
1418400.0, 10903.4331681
1422000.0, 10903.0673866
1425600.0, 10902.7444035
1429200.0, 10902.4339083
1432800.0, 10902.1596221
1436400.0, 10901.730056
1440000.0, 10901.0726886
1443600.0, 10900.1295994
1447200.0, 10898.851501
1450800.0, 10897.2640939
1454400.0, 10895.4534093
1458000.0, 10893.4587933
1461600.0, 10891.8582664
1465200.0, 10890.8525712
1468800.0, 10890.6259169
1472400.0, 10891.0615818
1476000.0, 10891.934172
1479600.0, 10893.1193903
1483200.0, 10894.5020567
1486800.0, 10895.9647875
1490400.0, 10897.2637079
1494000.0, 10898.1204218
1497600.0, 10898.0987307
1501200.0, 10897.5229739
1504800.0, 10896.9369694
1508400.0, 10896.4340747
1512000.0, 10895.9925857
1515600.0, 10895.5740939
1519200.0, 10895.1108498
1522800.0, 10894.42364
1526400.0, 10893.4893391
1530000.0, 10892.2856001
1533600.0, 10890.8208638
1537200.0, 10889.2081683
1540800.0, 10887.3508282
1544400.0, 10885.2635751
1548000.0, 10883.5355278
1551600.0, 10882.3701668
1555200.0, 10881.9888324
1558800.0, 10882.2886377
1562400.0, 10883.1091456
1566000.0, 10884.2649175
1569600.0, 10885.6721696
1573200.0, 10887.0818295
1576800.0, 10888.3365181
1580400.0, 10889.1787829
1584000.0, 10889.2137733
1587600.0, 10888.7030768
1591200.0, 10888.1410782
1594800.0, 10887.627784
1598400.0, 10887.2574963
1602000.0, 10886.947894
1605600.0, 10886.7901688
1609200.0, 10886.5620294
1612800.0, 10886.2311894
1616400.0, 10885.6990621
1620000.0, 10884.8719058
1623600.0, 10883.7082342
1627200.0, 10882.1579855
1630800.0, 10880.3534593
1634400.0, 10878.8241293
1638000.0, 10877.7822919
1641600.0, 10877.5051118
1645200.0, 10877.8978242
1648800.0, 10878.7602554
1652400.0, 10879.9207226
1656000.0, 10881.2827239
1659600.0, 10882.7164021
1663200.0, 10883.9538297
1666800.0, 10884.6966494
1670400.0, 10884.5213132
1674000.0, 10883.7392204
1677600.0, 10882.9502782
1681200.0, 10882.4141081
1684800.0, 10882.1089507
1688400.0, 10882.127723
1692000.0, 10882.2722572
1695600.0, 10882.321034
1699200.0, 10882.2418959
1702800.0, 10881.952045
1706400.0, 10881.3034215
1710000.0, 10880.2476592
1713600.0, 10878.7429831
1717200.0, 10876.9890145
1720800.0, 10875.5123334
1724400.0, 10874.4927652
1728000.0, 10874.2534878
1731600.0, 10874.6880056
1735200.0, 10875.6062265
1738800.0, 10876.845114
1742400.0, 10878.2848004
1746000.0, 10879.7484314
1749600.0, 10880.9708013
1753200.0, 10881.7728903
1756800.0, 10881.7028183
1760400.0, 10881.0013849
1764000.0, 10880.243387
1767600.0, 10879.6580333
1771200.0, 10879.2601878
1774800.0, 10879.1118341
1778400.0, 10879.1296089
1782000.0, 10879.0804514
1785600.0, 10878.8319933
1789200.0, 10878.4084198
1792800.0, 10877.6905481
1796400.0, 10876.6280558
1800000.0, 10875.2130928
1803600.0, 10873.6057487
1807200.0, 10872.3139415
1810800.0, 10871.4217199
1814400.0, 10871.1735056
1818000.0, 10871.5831207
1821600.0, 10872.4793665
1825200.0, 10873.7543673
1828800.0, 10875.2770054
1832400.0, 10876.9127261
1836000.0, 10878.5488477
1839600.0, 10879.9625705
1843200.0, 10880.9639753
1846800.0, 10881.6483835
1850400.0, 10882.168598
1854000.0, 10882.7515208
1857600.0, 10883.490555
1861200.0, 10884.4330471
1864800.0, 10885.4979323
1868400.0, 10886.5384316
1872000.0, 10887.4128983
1875600.0, 10887.9926891
1879200.0, 10888.12958
1882800.0, 10887.7344789
1886400.0, 10886.8836665
1890000.0, 10885.7777142
1893600.0, 10884.9710422
1897200.0, 10884.6002339
1900800.0, 10884.7950201
1904400.0, 10885.5778534
1908000.0, 10886.8117137
1911600.0, 10888.418061
1915200.0, 10890.2540902
1918800.0, 10892.2359421
1922400.0, 10894.2585951
1926000.0, 10896.1403611
1929600.0, 10897.7421312
1933200.0, 10899.1536716
1936800.0, 10900.4121529
1940400.0, 10901.6869195
1944000.0, 10903.0021984
1947600.0, 10904.3874942
1951200.0, 10905.7903756
1954800.0, 10907.1132403
1958400.0, 10908.1634158
1962000.0, 10908.8312636
1965600.0, 10908.956047
1969200.0, 10908.5027729
1972800.0, 10907.5375924
1976400.0, 10906.2355713
1980000.0, 10905.2375286
1983600.0, 10904.8063352
1987200.0, 10905.0929364
1990800.0, 10906.0496244
1994400.0, 10907.4466163
1998000.0, 10909.1576916
2001600.0, 10911.0455967
2005200.0, 10912.9273671
2008800.0, 10914.5287449
2012400.0, 10915.5644426
2016000.0, 10915.6793995
2019600.0, 10915.019427
2023200.0, 10914.2925353
2026800.0, 10913.629455
2030400.0, 10912.9897666
2034000.0, 10912.4241431
2037600.0, 10911.7920114
2041200.0, 10910.9251151
2044800.0, 10909.838472
2048400.0, 10908.458934
2052000.0, 10906.7098089
2055600.0, 10904.6649888
2059200.0, 10902.3262758
2062800.0, 10899.8334885
2066400.0, 10897.7808417
2070000.0, 10896.4365303
2073600.0, 10896.0173544
2077200.0, 10896.4146484
2080800.0, 10897.3600094
2084400.0, 10898.5880439
2088000.0, 10900.0840347
2091600.0, 10901.6779063
2095200.0, 10903.1224736
2098800.0, 10904.0127277
2102400.0, 10903.8269378
2106000.0, 10902.9347657
2109600.0, 10902.0829882
2113200.0, 10901.2791936
2116800.0, 10900.4736858
2120400.0, 10899.6519617
2124000.0, 10898.8585441
2127600.0, 10897.8079373
2131200.0, 10896.5666119
2134800.0, 10895.2014815
2138400.0, 10893.6425736
2142000.0, 10891.8966336
2145600.0, 10889.7708137
2149200.0, 10887.5135672
2152800.0, 10885.6278648
2156400.0, 10884.3958006
2160000.0, 10884.0756228
2163600.0, 10884.5069037
2167200.0, 10885.5123807
2170800.0, 10886.9071209
2174400.0, 10888.4995913
2178000.0, 10890.1014823
2181600.0, 10891.5710353
2185200.0, 10892.4590208
2188800.0, 10892.2919979
2192400.0, 10891.3485665
2196000.0, 10890.3850212
2199600.0, 10889.644074
2203200.0, 10889.0783088
2206800.0, 10888.754625
2210400.0, 10888.5030683
2214000.0, 10888.0801917
2217600.0, 10887.4715277
2221200.0, 10886.6209612
2224800.0, 10885.4685325
2228400.0, 10884.031453
2232000.0, 10882.1348762
2235600.0, 10880.009846
2239200.0, 10878.2508112
2242800.0, 10877.1183812
2246400.0, 10876.9045472
2250000.0, 10877.426084
2253600.0, 10878.4921572
2257200.0, 10879.9195191
2260800.0, 10881.5695979
2264400.0, 10883.2909638
2268000.0, 10884.7901491
2271600.0, 10885.737181
2275200.0, 10885.5868078
2278800.0, 10884.6309118
2282400.0, 10883.729998
2286000.0, 10882.8529471
2289600.0, 10882.0366565
2293200.0, 10881.427102
2296800.0, 10880.8701896
2300400.0, 10880.2298763
2304000.0, 10879.497601
2307600.0, 10878.6686802
2311200.0, 10877.666375
2314800.0, 10876.2451819
2318400.0, 10874.2200108
2322000.0, 10871.9902115
2325600.0, 10870.0770575
2329200.0, 10868.7350108
2332800.0, 10868.2635376
2336400.0, 10868.6022494
2340000.0, 10869.5415123
2343600.0, 10870.8735728
2347200.0, 10872.4898953
2350800.0, 10874.1946659
2354400.0, 10875.7521999
2358000.0, 10876.6829575
2361600.0, 10876.5047665
2365200.0, 10875.560345
2368800.0, 10874.6003059
2372400.0, 10873.690715
2376000.0, 10873.0614668
2379600.0, 10872.7021198
2383200.0, 10872.63289
2386800.0, 10872.6139639
2390400.0, 10872.7775748
2394000.0, 10872.8787055
2397600.0, 10872.6716583
2401200.0, 10871.9928249
2404800.0, 10870.6258897
2408400.0, 10869.0022411
2412000.0, 10867.6771294
2415600.0, 10866.7725228
2419200.0, 10866.6069977
2422800.0, 10867.2192039
2426400.0, 10868.4329919
2430000.0, 10870.0538129
2433600.0, 10871.9217453
2437200.0, 10873.9131752
2440800.0, 10875.8449589
2444400.0, 10877.54098
2448000.0, 10878.7452883
2451600.0, 10879.5078074
2455200.0, 10880.091276
2458800.0, 10880.7948091
2462400.0, 10881.7769478
2466000.0, 10883.0645215
2469600.0, 10884.577868
2473200.0, 10886.1997336
2476800.0, 10887.7083335
2480400.0, 10888.9500549
2484000.0, 10889.7120188
2487600.0, 10889.7763037
2491200.0, 10889.0564228
2494800.0, 10888.0520702
2498400.0, 10887.2833757
2502000.0, 10886.9371315
2505600.0, 10887.2027327
2509200.0, 10888.1803124
2512800.0, 10889.7364525
2516400.0, 10891.7015657
2520000.0, 10893.9147277
2523600.0, 10896.2446882
2527200.0, 10898.5455641
2530800.0, 10900.706899
2534400.0, 10902.5315103
2538000.0, 10904.0552211
2541600.0, 10905.4597403
2545200.0, 10907.0119234
2548800.0, 10908.7626549
2552400.0, 10910.7136661
2556000.0, 10912.7782154
2559600.0, 10914.8332313
2563200.0, 10916.6798799
2566800.0, 10918.0980553
2570400.0, 10918.8833255
2574000.0, 10918.7657961
2577600.0, 10917.7859434
2581200.0, 10916.4906813
2584800.0, 10915.5610662
2588400.0, 10915.2330076
2592000.0, 10915.8084673
2595600.0, 10917.150846
2599200.0, 10918.9930615
2602800.0, 10921.2104859
2606400.0, 10923.5801485
2610000.0, 10925.9632679
2613600.0, 10928.117002
2617200.0, 10929.5801416
2620800.0, 10929.7254876
2624400.0, 10928.8516275
2628000.0, 10927.9526451
2631600.0, 10927.1845732
2635200.0, 10926.5136651
2638800.0, 10925.8775135
2642400.0, 10925.1983286
2646000.0, 10924.2302698
2649600.0, 10922.8814801
2653200.0, 10921.0400627
2656800.0, 10918.8065819
2660400.0, 10916.1330065
2664000.0, 10913.0260473
2667600.0, 10909.8714363
2671200.0, 10907.3006746
2674800.0, 10905.4737209
2678400.0, 10904.8337426
2682000.0, 10905.1586656
2685600.0, 10906.2083266
2689200.0, 10907.6990826
2692800.0, 10909.4822954
2696400.0, 10911.3008335
2700000.0, 10912.9159914
2703600.0, 10913.9303602
2707200.0, 10913.661051
2710800.0, 10912.6010086
2714400.0, 10911.5445793
2718000.0, 10910.4929917
2721600.0, 10909.3884935
2725200.0, 10908.1600394
2728800.0, 10906.7673669
2732400.0, 10904.8488005
2736000.0, 10902.4010903
2739600.0, 10899.4798835
2743200.0, 10895.987096
2746800.0, 10892.1469384
2750400.0, 10888.0803788
2754000.0, 10884.2100534
2757600.0, 10881.0654909
2761200.0, 10878.8602982
2764800.0, 10877.8880915
2768400.0, 10877.9167943
2772000.0, 10878.7263895
2775600.0, 10880.0627818
2779200.0, 10881.6862408
2782800.0, 10883.4357925
2786400.0, 10884.9893443
2790000.0, 10885.9030181
2793600.0, 10885.5399856
2797200.0, 10884.2870928
2800800.0, 10883.0810415
2804400.0, 10881.9567035
2808000.0, 10880.8146102
2811600.0, 10879.5447612
2815200.0, 10878.1080631
2818800.0, 10876.1678416
2822400.0, 10873.6740708
2826000.0, 10870.542834
2829600.0, 10866.8558923
2833200.0, 10862.8485405
2836800.0, 10858.6515369
2840400.0, 10854.576691
2844000.0, 10851.2802252
2847600.0, 10848.8677485
2851200.0, 10847.7024111
2854800.0, 10847.6158327
2858400.0, 10848.3591452
2862000.0, 10849.6454692
2865600.0, 10851.2907116
2869200.0, 10853.0672405
2872800.0, 10854.6672405
2876400.0, 10855.6166566
2880000.0, 10855.2628848
2883600.0, 10853.957174
2887200.0, 10852.73344
2890800.0, 10851.5650444
2894400.0, 10850.3696712
2898000.0, 10849.0899874
2901600.0, 10847.6089279
2905200.0, 10845.6085753
2908800.0, 10843.0555369
2912400.0, 10839.8914759
2916000.0, 10836.1061877
2919600.0, 10832.0934288
2923200.0, 10827.9454877
2926800.0, 10823.9031805
2930400.0, 10820.6265183
2934000.0, 10818.3003446
2937600.0, 10817.2505512
2941200.0, 10817.241174
2944800.0, 10817.9530922
2948400.0, 10819.2238791
2952000.0, 10820.8512938
2955600.0, 10822.6020967
2959200.0, 10824.1563039
2962800.0, 10825.0020739
2966400.0, 10824.5429287
2970000.0, 10823.1054252
2973600.0, 10821.7350631
2977200.0, 10820.5455119
2980800.0, 10819.375268
2984400.0, 10818.1726202
2988000.0, 10816.8678171
2991600.0, 10815.1126545
2995200.0, 10812.8817624
2998800.0, 10810.1193339
3002400.0, 10806.7628457
3006000.0, 10803.2388545
3009600.0, 10799.6498917
3013200.0, 10796.2714588
3016800.0, 10793.6017973
3020400.0, 10791.7002019
3024000.0, 10790.860324
3027600.0, 10791.0738462
3031200.0, 10792.0734059
3034800.0, 10793.6758929
3038400.0, 10795.6398896
3042000.0, 10797.8343377
3045600.0, 10800.0031075
3049200.0, 10801.9074678
3052800.0, 10803.2812661
3056400.0, 10804.111957
3060000.0, 10804.7106002
3063600.0, 10805.3307602
3067200.0, 10806.1255421
3070800.0, 10807.0599888
3074400.0, 10807.9954137
3078000.0, 10808.6978871
3081600.0, 10809.0344494
3085200.0, 10808.8127984
3088800.0, 10807.9229145
3092400.0, 10806.4033044
3096000.0, 10804.3312313
3099600.0, 10802.3788574
3103200.0, 10801.0218645
3106800.0, 10800.3221027
3110400.0, 10800.5172721
3114000.0, 10801.5753118
3117600.0, 10803.3075552
3121200.0, 10805.5434649
3124800.0, 10808.1174517
3128400.0, 10810.8847252
3132000.0, 10813.6855203
3135600.0, 10816.380136
3139200.0, 10818.7967545
3142800.0, 10820.734768
3146400.0, 10822.4426792
3150000.0, 10824.0533628
3153600.0, 10825.6799849
3157200.0, 10827.4070464
3160800.0, 10829.1804684
3164400.0, 10830.8092309
3168000.0, 10832.2157714
3171600.0, 10833.2384697
3175200.0, 10833.6324031
3178800.0, 10833.165063
3182400.0, 10831.6122555
3186000.0, 10829.8758405
3189600.0, 10828.6062056
3193200.0, 10828.0947587
3196800.0, 10828.524732
3200400.0, 10829.9873884
3204000.0, 10832.1778985
3207600.0, 10834.8133102
3211200.0, 10837.6528989
3214800.0, 10840.5742415
3218400.0, 10843.1361626
3222000.0, 10844.8164724
3225600.0, 10844.917985
3229200.0, 10843.7686368
3232800.0, 10842.5777836
3236400.0, 10841.4123299
3240000.0, 10840.4716103
3243600.0, 10839.8954399
3247200.0, 10839.6910389
3250800.0, 10839.5518581
3254400.0, 10839.4540976
3258000.0, 10839.152279
3261600.0, 10838.302104
3265200.0, 10836.7263324
3268800.0, 10834.0418087
3272400.0, 10831.2680224
3276000.0, 10829.0597629
3279600.0, 10827.690592
3283200.0, 10827.647873
3286800.0, 10828.6618765
3290400.0, 10830.4573939
3294000.0, 10832.6855773
3297600.0, 10835.1965443
3301200.0, 10837.7341539
3304800.0, 10840.0487864
3308400.0, 10841.4812456
3312000.0, 10841.2757047
3315600.0, 10839.7628867
3319200.0, 10838.3520907
3322800.0, 10837.2087563
3326400.0, 10836.4598078
3330000.0, 10836.237445
3333600.0, 10836.3694202
3337200.0, 10836.6444305
3340800.0, 10836.7950492
3344400.0, 10836.7103529
3348000.0, 10836.0183357
3351600.0, 10834.680419
3355200.0, 10832.7021881
3358800.0, 10830.9278061
3362400.0, 10829.4988158
3366000.0, 10828.5468619
3369600.0, 10828.6291245
3373200.0, 10829.7208448
3376800.0, 10831.6256488
3380400.0, 10833.9445121
3384000.0, 10836.569118
3387600.0, 10839.2845699
3391200.0, 10841.5970345
3394800.0, 10843.0974133
3398400.0, 10843.049564
3402000.0, 10841.6836272
3405600.0, 10840.4746228
3409200.0, 10839.6689895
3412800.0, 10839.3028284
3416400.0, 10839.2552545
3420000.0, 10839.4851972
3423600.0, 10839.6567782
3427200.0, 10839.6200793
3430800.0, 10839.2421106
3434400.0, 10838.322401
3438000.0, 10836.6312661
3441600.0, 10833.9339699
3445200.0, 10831.1067382
3448800.0, 10828.8438804
3452400.0, 10827.4847574
3456000.0, 10827.3813176
3459600.0, 10828.3957142
3463200.0, 10830.3136435
3466800.0, 10832.7332674
3470400.0, 10835.3962019
3474000.0, 10838.188167
3477600.0, 10840.5709178
3481200.0, 10842.0406837
3484800.0, 10841.8306785
3488400.0, 10840.033621
3492000.0, 10838.2242413
3495600.0, 10836.3846444
3499200.0, 10834.8516783
3502800.0, 10833.7680944
3506400.0, 10832.8264467
