Time,Demand
0.0,14022.2379026
3600.0,14021.7000207
7200.0,14021.9240904
10800.0,14022.6822195
14400.0,14023.8081817
18000.0,14025.1324619
21600.0,14026.4404623
25200.0,14027.4871241
28800.0,14028.1668613
32400.0,14028.3600869
36000.0,14027.9370788
39600.0,14027.3047915
43200.0,14026.5575218
46800.0,14025.407562
50400.0,14023.8421696
54000.0,14021.7033435
57600.0,14018.9883479
61200.0,14015.7707785
64800.0,14012.1505192
68400.0,14008.3003575
72000.0,14004.3834292
75600.0,14000.6216909
79200.0,13997.205227
82800.0,13994.2171928
86400.0,13992.2205194
90000.0,13991.2491811
93600.0,13991.0350463
97200.0,13991.368093
100800.0,13992.0836478
104400.0,13993.0230454
108000.0,13993.9557249
111600.0,13994.6539882
115200.0,13994.8098897
118800.0,13994.2716473
122400.0,13993.1425973
126000.0,13991.4314707
129600.0,13989.156198
133200.0,13986.3554602
136800.0,13983.3364593
140400.0,13979.9894498
144000.0,13976.2487859
147600.0,13972.192225
151200.0,13967.9450353
154800.0,13963.6622388
158400.0,13959.4648944
162000.0,13955.5519642
165600.0,13952.1766481
169200.0,13949.3200178
172800.0,13947.492848
176400.0,13946.6781013
180000.0,13946.6357622
183600.0,13947.0648103
187200.0,13947.8657659
190800.0,13948.903243
194400.0,13949.9630648
198000.0,13950.8158961
201600.0,13951.2605302
205200.0,13951.111599
208800.0,13950.5611553
212400.0,13949.735124
216000.0,13948.5964734
219600.0,13947.5068512
223200.0,13945.7717942
226800.0,13943.4368792
230400.0,13941.0796995
234000.0,13938.364717
237600.0,13935.3981215
241200.0,13932.3232978
244800.0,13929.2752648
248400.0,13926.4775277
252000.0,13924.1372773
255600.0,13922.2475296
259200.0,13921.1458489
262800.0,13920.8629157
266400.0,13921.1124148
270000.0,13921.9005194
273600.0,13923.0691282
277200.0,13924.4367218
280800.0,13925.9093159
284400.0,13927.3796772
288000.0,13928.7813927
291600.0,13929.9363925
295200.0,13930.6169089
298800.0,13931.0552153
302400.0,13931.2066369
306000.0,13931.0447245
309600.0,13930.5789535
313200.0,13929.6841351
316800.0,13928.380006
320400.0,13927.1031257
324000.0,13925.7126672
327600.0,13924.1652256
331200.0,13922.5898147
334800.0,13921.1686695
338400.0,13919.9599634
342000.0,13919.0185002
345600.0,13918.719889
349200.0,13919.1481889
352800.0,13920.1487585
356400.0,13921.6090676
360000.0,13923.4161537
363600.0,13925.2350782
367200.0,13927.1503077
370800.0,13929.0941853
374400.0,13931.0727653
378000.0,13932.8246332
381600.0,13934.2231333
385200.0,13935.4358622
388800.0,13936.4640951
392400.0,13937.2784706
396000.0,13937.8377812
399600.0,13938.086842
403200.0,13937.9517238
406800.0,13937.635668
410400.0,13937.0981687
414000.0,13936.2485789
417600.0,13935.1704121
421200.0,13934.1180779
424800.0,13933.2961137
428400.0,13932.8058051
432000.0,13933.0449704
