Time,Demand
0,1264.92223592
1,1193.458672
2,1154.820296
3,1138.31484144
4,1118.45744976
5,1136.30677664
6,1199.47949072
7,1337.73229576
8,1414.19577992
9,1426.70988656
10,1435.19373424
11,1424.80058952
12,1419.7564136
13,1430.72415024
14,1390.0397812
15,1399.28401816
16,1414.2648996
17,1400.9401588
18,1423.1677712
19,1461.74074144
20,1541.67279616
21,1531.76344216
22,1462.1306252
23,1352.0767904
0,1267.4834508
1,1199.07502736
2,1154.9177584
3,1130.65107456
4,1119.3683564
5,1144.64532672
6,1214.7981496
7,1332.55492272
8,1414.9281776
9,1438.12896136
10,1435.17986192
11,1428.91522536
12,1425.69855792
13,1417.57550984
14,1397.57847992
15,1367.26607472
16,1340.6866172
17,1358.23879744
18,1381.13585624
19,1418.09741584
20,1515.23695848
21,1522.78172536
22,1456.30104032
23,1345.30360272
0,1237.08469976
1,1170.20766576
2,1149.77040248
3,1130.81943184
4,1119.895042
5,1121.6372832
6,1190.52708936
7,1335.93233424
8,1405.42878056
9,1397.86263288
10,1365.14318864
11,1349.247648
12,1342.39621264
13,1325.44436416
14,1314.8048788
15,1312.35363672
16,1324.15380104
17,1350.37242144
18,1364.42361832
19,1409.16502104
20,1516.00757784
21,1517.66502608
22,1447.65629624
23,1338.41581832
0,1235.86523816
1,1169.5260248
2,1146.99447296
3,1127.57099056
4,1119.48798472
5,1142.93786712
6,1217.3223664
7,1338.63435832
8,1417.81573248
9,1426.51107088
10,1418.94675048
11,1413.47491152
12,1413.26792824
13,1416.20359328
14,1415.39231008
15,1418.80706128
16,1410.38005864
17,1396.1172764
18,1386.128338
19,1416.26499952
20,1490.37301784
21,1484.58891728
22,1435.1721216
23,1347.08018816
0,1246.43594824
1,1181.58646984
2,1137.83187336
3,1106.3963204
4,1085.71205848
5,1088.97784912
6,1109.30851864
7,1162.60341008
8,1188.18850864
9,1215.19981072
10,1240.07369304
11,1243.65582152
12,1219.14201248
13,1204.8746276
14,1180.45773888
15,1162.66756872
16,1161.9883772
17,1177.91587704
18,1217.500872
19,1261.46024144
20,1362.37205272
21,1381.44864536
22,1338.29822336
23,1266.65638904
0,1187.79657248
1,1128.53363448
2,1095.89270056
3,1078.67674768
4,1049.04870616
5,1043.91456568
6,1056.12905216
7,1088.47594184
8,1106.59003392
9,1161.63069792
10,1183.15489376
11,1181.32648312
12,1161.2325592
13,1147.6275356
14,1143.8912996
15,1140.55057368
16,1157.67257872
17,1195.76657592
18,1233.83545264
19,1294.13899944
20,1393.35595112
21,1407.84190736
22,1345.23822272
23,1249.99257824
0,1153.44843824
1,1103.339692
2,1070.85671504
3,1059.95428728
4,1062.54152704
5,1081.13445888
6,1148.27838272
7,1289.6463048
8,1359.8105864
9,1376.6904956
10,1357.23859488
11,1357.081768
12,1340.31691136
13,1319.12759384
14,1305.4307252
15,1300.64115888
16,1304.4599092
17,1317.67307616
18,1326.75885944
19,1390.5247692
20,1501.79076208
21,1512.06461672
22,1428.11735584
23,1311.98450768
0,1201.79350816
1,1134.80721816
2,1105.47557064
3,1071.70044184
4,1065.69690416
5,1100.53911632
6,1185.9854608
7,1324.2608596
8,1385.60683072
9,1371.76568648
10,1343.16089544
11,1335.95256816
12,1340.56924512
13,1325.21034072
14,1328.79181848
15,1337.72233672
16,1358.07788368
17,1359.8364696
18,1377.68918336
19,1418.7465208
20,1507.61704968
21,1516.66052944
22,1444.87918792
23,1332.89921856
0,1227.6483184
1,1157.21762128
2,1107.7140396
3,1077.94284808
4,1073.60185912
5,1103.1163584
6,1177.2602548
7,1307.47934912
8,1368.4896008
9,1365.3705716
10,1343.78732824
11,1338.24488616
12,1347.71823088
13,1354.5638792
14,1371.29293728
15,1395.88050504
16,1412.66907656
17,1419.78116448
18,1441.617786
19,1467.22735936
20,1527.85111864
21,1533.88586904
22,1458.40964472
23,1337.72059568
0,1225.10870216
1,1147.19257408
2,1122.06185896
3,1098.73025584
4,1095.01396816
5,1106.45093104
6,1162.39925536
7,1285.52076576
8,1350.10871352
9,1353.94011256
10,1348.64926
11,1368.48640768
12,1353.6152252
13,1330.06688864
14,1318.28816112
15,1313.6881744
16,1322.68417624
17,1339.1182
18,1350.2308792
19,1391.32679896
20,1466.33150048
21,1488.46338928
22,1442.39813144
23,1340.24734816
0,1226.15021256
1,1158.01606984
2,1126.02384496
3,1123.88183992
4,1098.55904256
5,1120.80425408
6,1188.02624584
7,1309.64090824
8,1366.2591936
9,1347.09614424
10,1309.59762976
11,1315.4572732
12,1306.0817952
13,1276.90070928
14,1269.81596448
15,1273.50350232
16,1284.08931616
17,1320.857188
18,1342.61499624
19,1368.30822632
20,1449.22605968
21,1467.94945808
22,1426.575654
23,1332.78026056
0,1236.39727176
1,1156.1779208
2,1104.82289288
3,1077.02774648
4,1063.55856936
5,1068.2782936
6,1099.25285904
7,1148.71000944
8,1164.78755232
9,1169.2255456
10,1162.63763672
11,1166.71989504
12,1146.31469736
13,1131.92588936
14,1130.98876016
15,1144.27582696
16,1171.88536528
17,1222.51678976
18,1251.18506352
19,1313.60844104
20,1388.36509336
21,1410.6774808
22,1368.23752464
23,1286.47262184
0,1194.53449808
1,1128.53464136
2,1079.19057344
3,1045.46914696
4,1028.60057664
5,1024.57014744
6,1045.94905688
7,1069.44154128
8,1072.47370664
9,1087.16943216
10,1100.66188512
11,1090.37459888
12,1085.88436712
13,1082.21489656
14,1093.90773016
15,1114.89283416
16,1145.43159976
17,1212.79450264
18,1268.45935104
19,1333.3998524
20,1424.55163088
21,1455.30206696
22,1388.24094864
23,1282.38068
0,1174.23909288
1,1104.25923272
2,1086.68718648
3,1071.35036512
4,1057.167986
5,1077.83301136
6,1156.24117056
7,1281.3428908
8,1344.43912848
9,1347.19277056
10,1323.73667048
11,1310.44569152
12,1320.69286888
13,1309.45811136
14,1317.8698652
15,1325.09172096
16,1334.75754216
17,1361.53919944
18,1395.90103688
19,1434.40099992
20,1512.0050456
21,1523.46336296
22,1451.76658144
23,1332.49295984
0,1227.66778456
1,1151.0730448
2,1105.87077496
3,1077.99697768
4,1064.33830104
5,1093.32599936
6,1182.01697656
7,1312.50219632
8,1377.07269952
9,1371.94952944
10,1345.96264096
11,1328.62512048
12,1322.031004
13,1313.66213216
14,1339.36303592
15,1369.53418728
16,1394.69396976
17,1424.57384384
18,1456.51852584
19,1479.1046788
20,1557.13805688
21,1566.67774872
22,1488.95055456
23,1366.57513888
0,1252.79654472
1,1181.31675312
2,1133.4131956
3,1104.68817424
4,1096.72167024
5,1125.11720272
6,1201.09355016
7,1321.1132116
8,1377.3899608
9,1386.99242192
10,1378.63741624
11,1378.14595576
12,1389.6727964
13,1399.81511096
14,1424.44159928
15,1450.1202212
16,1475.42089296
17,1501.45183328
18,1523.55920304
19,1535.61921072
20,1595.28100088
21,1602.75750656
22,1522.99482888
23,1400.98859208
0,1279.969684
1,1198.38363848
2,1140.04191504
3,1109.35430144
4,1096.71545536
5,1119.66988616
6,1201.13057288
7,1318.89871456
8,1394.28202256
9,1435.18248608
10,1435.08638616
11,1436.92290952
12,1451.68398312
13,1467.1682396
14,1473.07237672
15,1466.95204264
16,1482.93239696
17,1479.68140712
18,1485.22294648
19,1500.84580688
20,1556.82650312
21,1551.02486504
22,1469.59848784
23,1358.28388976
0,1252.14912368
1,1176.0090944
2,1133.28273856
3,1106.95796344
4,1096.65790304
5,1117.72420872
6,1191.12398552
7,1311.85300736
8,1378.55433128
9,1409.0124692
10,1411.59243736
11,1408.20482488
12,1397.20981512
13,1393.80075632
14,1386.24666936
15,1377.14760848
16,1385.84157152
17,1382.11614576
18,1409.0559056
19,1432.5681888
20,1487.20255544
21,1498.06129424
22,1447.69764328
23,1353.74303568
0,1256.03415784
1,1180.50345672
2,1127.40515328
3,1093.67925352
4,1080.03181384
5,1083.19221696
6,1114.49567992
7,1158.08356104
8,1176.89056128
9,1210.7464152
10,1258.33558984
11,1273.70240256
12,1237.64950288
13,1201.4343964
14,1177.08945704
15,1169.56734048
16,1166.80798192
17,1191.26057736
18,1205.41062096
19,1255.79956656
20,1354.73297568
21,1401.7042844
22,1365.11602752
23,1289.53813296
0,1196.89095064
1,1124.85376584
2,1083.45931568
3,1060.6594124
4,1050.31631936
5,1058.47383376
6,1078.13403432
7,1107.1550056
8,1113.18643576
9,1136.88988224
10,1135.19979328
11,1123.9659228
12,1101.33900744
13,1081.63371176
14,1067.38500848
15,1055.58402992
16,1077.2102824
17,1117.7166588
18,1169.88791584
19,1252.62006856
20,1357.61607968
21,1402.61615032
22,1354.65199576
23,1261.41016456
0,1161.39148328
1,1099.25058712
2,1062.30668936
3,1037.21888144
4,1040.56854776
5,1072.94231072
6,1156.40716856
7,1277.38075248
8,1350.8082476
9,1355.24831568
10,1336.1073964
11,1319.13263552
12,1317.35543072
13,1324.8568676
14,1340.666124
15,1355.80220664
16,1360.33110808
17,1366.8626832
18,1395.73169344
19,1438.78723464
