Time,Demand
"('0.0',)",1410.22778831
"('1.0',)",1339.21167845
"('2.0',)",1262.48089746
"('3.0',)",1204.67912468
"('4.0',)",1143.41042096
"('5.0',)",1180.14376615
"('6.0',)",1173.93550816
"('7.0',)",1149.58479496
"('8.0',)",1178.75373769
"('9.0',)",1249.3897223
"('10.0',)",1277.45138276
"('11.0',)",1262.20834589
"('12.0',)",1299.82891061
"('13.0',)",1393.69354458
"('14.0',)",1444.91644186
"('15.0',)",1452.58336932
"('16.0',)",1513.2384351
"('17.0',)",1621.41788511
"('18.0',)",1670.0755758
"('19.0',)",1650.88093176
"('20.0',)",1655.50280634
"('21.0',)",1677.72148774
"('22.0',)",1614.93861368
"('23.0',)",1518.64562874
