Time,Demand
0,1781.21665456
1,1632.03386528
2,1520.13830864
3,1442.2410352
4,1399.6264548
5,1403.78600656
6,1456.78807344
7,1527.20617448
8,1627.95403288
9,1739.75142544
10,1821.81406904
11,1899.81257872
12,1999.42407616
13,2094.87105408
14,2203.18932176
15,2296.86336096
16,2379.26641512
17,2419.71103416
18,2434.25206808
19,2413.00920672
20,2352.42888944
21,2298.93649776
22,2195.47259456
23,1991.99863128
0,1792.25915624
1,1645.82180336
2,1544.3909068
3,1471.3097028
4,1429.6191784
5,1432.79320688
6,1481.55901544
7,1565.44652264
8,1675.62441144
9,1774.96040176
10,1867.85541152
11,1945.99949376
12,2016.29411536
13,2066.18101088
14,2140.87880888
15,2218.3169372
16,2282.77688296
17,2324.65684416
18,2319.1123508
19,2288.63527872
20,2225.9791904
21,2171.81610632
22,2072.73395784
23,1890.14994784
0,1715.26816776
1,1584.27432576
2,1495.81092472
3,1430.48985464
4,1392.59894816
5,1397.17431672
6,1443.22603096
7,1521.56836272
8,1623.21902008
9,1697.31224432
10,1759.1039732
11,1830.97379528
12,1870.35111816
13,1968.86209912
14,2070.08520488
15,2105.46669256
16,2172.20410456
17,2208.88156664
18,2208.96916296
19,2170.99601824
20,2099.88006928
21,2038.74705104
22,1954.7207708
23,1813.27031536
0,1663.0141136
1,1556.16690208
2,1461.19997632
3,1398.08165448
4,1360.98964232
5,1346.0938372
6,1350.54044664
7,1361.3662804
8,1413.87165584
9,1494.30342376
10,1552.5424656
11,1613.6455048
12,1682.33038344
13,1751.40394408
14,1820.79322432
15,1884.252132
16,1920.70222008
17,1968.4836976
18,2001.53930872
19,2000.88388416
20,1955.65499976
21,1924.59352176
22,1866.78087624
23,1742.8701892
0,1602.4345848
1,1487.28563088
2,1397.24262832
3,1332.46723176
4,1304.94548912
5,1284.18680712
6,1274.77385112
7,1267.26071584
8,1310.7602928
9,1380.5297072
10,1454.12590176
11,1543.5950516
12,1641.72729168
13,1747.06960792
14,1853.65941768
15,1945.35401704
16,2001.7757228
17,2048.15865968
18,2086.25586792
19,2099.75922856
20,2060.55419416
21,2012.92097608
22,1936.99418416
23,1775.5448004
0,1599.80409176
1,1469.83407088
2,1379.65867536
3,1322.83040736
4,1298.45098488
5,1311.36131504
6,1361.92668528
7,1438.51154104
8,1540.46160464
9,1630.187594
10,1710.02333376
11,1803.17760672
12,1889.46489984
13,1959.66733032
14,2042.54385552
15,2115.32639416
16,2171.47428736
17,2215.71640864
18,2238.19050896
19,2226.38327856
20,2161.21868144
21,2093.88898544
22,1996.18952008
23,1812.01993448
0,1628.2744828
1,1498.07709016
2,1419.71067784
3,1368.20819296
4,1334.06086464
5,1340.6909628
6,1408.97493856
7,1476.63625256
8,1560.71813576
9,1624.92747368
10,1685.27019808
11,1752.30470352
12,1815.75251144
13,1878.6285392
14,1954.37819752
15,2023.27340264
16,2078.52067192
17,2119.45545168
18,2132.76579432
19,2103.84595512
20,2043.20312336
21,1974.145502
22,1889.25734928
23,1725.34742352
0,1561.69116208
1,1446.91310176
2,1365.46448696
3,1325.0882064
4,1305.28604752
5,1314.87340096
6,1364.25065616
7,1425.98432424
8,1481.80314912
9,1531.01616472
10,1578.18148376
11,1630.80211448
12,1675.75064608
