Time,Demand
"('0.0',)",1725.84454225
"('1.0',)",1550.90334933
"('2.0',)",1473.4140317
"('3.0',)",1432.08711047
"('4.0',)",1388.57015732
"('5.0',)",1362.998382
"('6.0',)",1320.40756677
"('7.0',)",1373.28975576
"('8.0',)",1417.36179031
"('9.0',)",1442.15336902
"('10.0',)",1529.47703463
"('11.0',)",1659.25835521
"('12.0',)",1794.32571492
"('13.0',)",1904.19610614
"('14.0',)",1979.8607006
"('15.0',)",2029.28259751
"('16.0',)",2098.13583514
"('17.0',)",2203.09425727
"('18.0',)",2240.08069954
"('19.0',)",2245.46636401
"('20.0',)",2169.59729728
"('21.0',)",2096.7117743
"('22.0',)",2021.7308249
"('23.0',)",1895.71077632
