Time,Demand
0,1246.5499788
1,1249.0036188
2,1194.1019748
3,1153.58048904
4,1126.250986
5,1119.54761912
6,1142.817214
7,1181.47462272
8,1201.55962976
9,1208.75444256
10,1206.08330584
11,1198.29140928
12,1187.15112768
13,1180.01981944
14,1183.5852196
15,1204.44443448
16,1237.97342704
17,1297.15921216
18,1455.95058504
19,1489.68376424
20,1478.81059256
21,1450.90266608
22,1395.84187904
23,1319.66712472
0,1246.5499788
1,1185.5944632
2,1139.79082392
3,1114.28272928
4,1106.09540832
5,1123.02550528
6,1167.44828424
7,1231.90906888
8,1272.62863056
9,1311.42782848
10,1338.64404744
11,1364.05807552
12,1368.1642044
13,1355.93440528
14,1339.82119936
15,1336.70191256
16,1334.51993472
17,1417.9114852
18,1574.42062624
19,1598.74014216
20,1578.22662648
21,1536.82878272
22,1467.33891808
23,1370.9241336
0,1278.67547528
1,1211.72272536
2,1164.63820536
3,1145.4154292
4,1143.77844448
5,1176.20295464
6,1251.85280136
7,1378.26484992
8,1463.46742584
9,1493.718296
10,1500.38942928
11,1502.06096264
12,1495.7924016
13,1491.904624
14,1492.54404768
15,1501.19853632
16,1512.47525856
17,1575.38901744
18,1689.98651808
19,1708.76695752
20,1674.91537416
21,1632.81244728
22,1544.6130924
23,1425.65842944
0,1316.5500684
1,1245.8695424
2,1207.57881944
3,1179.35490232
4,1175.996696
5,1203.78455568
6,1271.32285112
7,1387.27671432
8,1453.50095464
9,1470.84444304
10,1472.48702832
11,1469.76380712
12,1457.88201664
13,1448.52107008
14,1450.750238
15,1452.30376704
16,1468.57013016
17,1526.18209408
18,1653.01074904
19,1663.25079144
20,1636.7628844
21,1588.0113228
22,1505.23861768
23,1398.2164364
0,1300.4263076
1,1233.19933352
2,1189.00429088
3,1163.4914732
4,1155.00503496
5,1182.0443712
6,1249.79372672
7,1362.62137536
8,1450.27086456
9,1475.88969808
10,1477.32281088
11,1470.79300424
12,1448.22603744
13,1425.16103408
14,1412.42749144
15,1418.72066
16,1427.2739152
17,1497.83436936
18,1638.51132872
19,1660.2600168
20,1641.30300824
21,1599.52030952
22,1517.88402976
23,1410.04244248
0,1312.22180992
1,1259.34666368
2,1229.35659672
3,1203.9298236
4,1202.440512
5,1240.35449272
6,1312.62036808
7,1434.22884304
8,1504.651918
9,1504.36900544
10,1473.84966624
11,1435.99333528
12,1417.31850232
13,1393.51959096
14,1393.07708736
15,1413.84986064
16,1424.70339312
17,1493.8275128
18,1636.77613232
19,1653.63989952
20,1622.89526224
21,1582.71212848
22,1516.72281208
23,1425.88868072
0,1331.62248408
1,1275.58195912
2,1222.2288792
3,1189.85269368
4,1178.23997928
5,1185.15612152
6,1220.60740592
7,1279.9421544
8,1321.5040048
9,1369.03249392
10,1401.53405952
11,1412.25430024
12,1398.39049336
13,1373.83379784
14,1360.2957396
15,1352.56155272
16,1352.91426872
17,1408.79087832
18,1533.31037048
19,1541.16505816
20,1511.91757136
21,1473.11821832
22,1415.03343688
23,1332.50337976
0,1252.44293272
1,1197.71547728
2,1156.29170272
3,1124.48219296
4,1105.45001952
5,1105.33543736
6,1127.56969472
7,1171.73442736
8,1191.77067072
9,1221.21892144
10,1242.71185584
11,1261.6941148
12,1277.30150296
13,1279.44207944
14,1281.0837844
15,1300.13187136
16,1320.90293552
17,1370.90989448
18,1500.6669776
19,1514.54437736
20,1486.54044336
21,1439.8368796
22,1366.56773232
23,1274.61852616
0,1185.77359712
1,1130.03591624
2,1109.85712208
3,1104.04917728
4,1121.85749592
5,1156.06346856
6,1224.89059056
7,1353.0377308
8,1456.13109992
9,1487.41070688
10,1509.79113936
11,1509.08539936
12,1489.36628624
13,1461.46550368
14,1455.56914552
15,1470.39984
16,1471.19968856
17,1514.0601896
18,1644.62215624
19,1659.77732368
20,1626.13866016
21,1575.61978784
22,1486.54963128
23,1367.46914136
0,1269.56319168
1,1210.96672704
2,1183.45185616
3,1177.89601048
4,1175.5863728
5,1205.11632752
6,1269.8062496
7,1396.08361368
8,1489.3839912
9,1508.99691432
10,1521.99337472
11,1528.23240528
12,1520.440544
13,1507.13896144
14,1500.66969584
15,1503.33496264
16,1521.0847428
17,1572.37594248
18,1680.64751232
19,1688.88501488
20,1655.84926584
21,1600.44817744
22,1511.31624728
23,1406.57945456
0,1307.12912736
1,1236.75696088
2,1198.34355088
3,1177.2847212
4,1178.42131624
5,1202.7281616
6,1274.2691444
7,1396.53043264
8,1488.36230088
9,1493.58914096
10,1485.53431376
11,1468.33324176
12,1448.98735856
13,1433.61357496
14,1424.3045292
15,1430.75792496
16,1448.8639704
17,1503.33114064
18,1635.7702844
19,1662.76462352
20,1633.47005304
21,1590.83411032
22,1512.11220496
23,1395.52955696
0,1288.88495512
1,1236.14525608
2,1203.57578208
3,1174.4520396
4,1172.54277504
5,1203.12292576
6,1282.6742068
7,1421.71562512
8,1513.01164784
9,1528.84665528
10,1547.50298416
11,1553.51504112
12,1546.84168352
13,1536.0600192
14,1517.04455728
15,1507.68872856
16,1515.4595176
17,1564.6341368
18,1684.01074016
19,1714.56853848
20,1685.83083256
21,1629.07033464
22,1549.28675552
23,1442.20128864
0,1334.08646336
1,1273.98604424
2,1239.43391768
3,1217.1460392
4,1211.70406336
5,1239.10919832
6,1309.52719968
7,1464.69902544
8,1553.64928936
9,1550.57643832
10,1530.3578584
11,1505.02686488
12,1474.11948544
13,1449.55350456
14,1432.95810392
15,1426.99932592
16,1444.12364208
17,1504.03643152
18,1631.2483936
19,1656.49964144
20,1628.04233256
21,1588.73271368
22,1522.30934128
23,1430.98451496
0,1345.00346176
1,1267.95920384
2,1228.88284736
3,1210.61515848
4,1196.40165512
5,1202.94701912
6,1234.2979768
7,1280.01250552
8,1313.9595672
9,1332.67980944
10,1317.541036
11,1292.5609928
12,1278.8280848
13,1273.47563112
14,1274.22383816
15,1276.550982
16,1281.78416072
17,1353.21857944
18,1505.51268448
19,1545.49589488
20,1528.2846208
21,1493.28469584
22,1436.52567968
23,1360.0499584
0,1284.05363072
1,1222.18760552
2,1183.72433144
3,1166.1067936
4,1154.07824448
5,1160.63400656
6,1188.25178248
7,1237.12645448
8,1265.87818392
9,1292.41172032
10,1302.86899008
11,1317.17991384
12,1304.2441692
13,1282.43858568
14,1267.03985296
15,1273.47981096
16,1272.62960552
17,1330.4860464
18,1491.27227368
19,1541.71324608
20,1527.717086
