Time,Demand
"('0.0',)",1303.50198631
"('1.0',)",1242.8787454
"('2.0',)",1211.72983636
"('3.0',)",1148.54467178
"('4.0',)",1155.97289801
"('5.0',)",1140.28428791
"('6.0',)",1199.23059585
"('7.0',)",1249.87542414
"('8.0',)",1241.60655489
"('9.0',)",1289.12616281
"('10.0',)",1358.94286099
"('11.0',)",1402.61577306
"('12.0',)",1366.02485592
"('13.0',)",1409.63641667
"('14.0',)",1432.49822779
"('15.0',)",1434.09618162
"('16.0',)",1438.58351723
"('17.0',)",1490.97583712
"('18.0',)",1582.11608468
"('19.0',)",1614.67571779
"('20.0',)",1615.16534922
"('21.0',)",1523.54146643
"('22.0',)",1472.97131355
"('23.0',)",1396.79935169
