Time,Demand
0.0,11372.0977798
3600.0,11372.0977798
7200.0,11372.6864785
10800.0,11373.5330672
14400.0,11374.5792176
18000.0,11375.7571949
21600.0,11376.9793449
25200.0,11378.1040166
28800.0,11378.9597965
32400.0,11379.5695185
36000.0,11380.070653
39600.0,11380.5265158
43200.0,11381.0359098
46800.0,11381.6243073
50400.0,11382.3268248
54000.0,11383.063826
57600.0,11383.7359888
61200.0,11384.1745046
64800.0,11384.4745847
68400.0,11384.1066663
72000.0,11383.5683813
75600.0,11383.1210128
79200.0,11382.8293842
82800.0,11382.822942
86400.0,11383.1649455
90000.0,11383.7704858
93600.0,11384.697423
97200.0,11385.853639
100800.0,11387.130602
104400.0,11388.4385813
108000.0,11389.6579242
111600.0,11390.6326437
115200.0,11391.2380052
118800.0,11391.5599393
122400.0,11391.6791683
126000.0,11391.6252175
129600.0,11391.5354453
133200.0,11391.494173
136800.0,11391.4724625
140400.0,11391.4231237
144000.0,11391.4013407
147600.0,11391.4552691
151200.0,11391.1281009
154800.0,11390.0928534
158400.0,11388.9546355
162000.0,11387.9623319
165600.0,11387.2169427
169200.0,11386.8582805
172800.0,11386.934107
176400.0,11387.4087954
180000.0,11388.2723415
183600.0,11389.3693774
187200.0,11390.5674399
190800.0,11391.782957
194400.0,11392.8289773
198000.0,11393.5861349
201600.0,11393.7833955
205200.0,11393.4340061
208800.0,11392.9250325
212400.0,11392.352655
216000.0,11391.7793858
219600.0,11391.2678594
223200.0,11390.706203
226800.0,11390.0678957
230400.0,11389.3520365
234000.0,11388.5377607
237600.0,11387.4395714
241200.0,11385.8428389
244800.0,11384.2306545
248400.0,11382.8255307
252000.0,11381.7134341
255600.0,11381.056597
259200.0,11381.002138
262800.0,11381.5183377
266400.0,11382.3777746
270000.0,11383.3785167
273600.0,11384.5320896
277200.0,11385.7012333
280800.0,11386.7722053
284400.0,11387.587316
288000.0,11387.8953177
291600.0,11387.7057747
295200.0,11387.333468
298800.0,11386.8553517
302400.0,11386.3052322
306000.0,11385.7561704
309600.0,11385.2695402
313200.0,11384.759904
316800.0,11384.2593173
320400.0,11383.7387514
324000.0,11382.9633698
327600.0,11381.6410039
331200.0,11380.2683786
334800.0,11379.0565549
338400.0,11378.0939922
342000.0,11377.5705034
345600.0,11377.5493196
349200.0,11377.9497246
352800.0,11378.7084028
356400.0,11379.732367
360000.0,11380.903522
363600.0,11382.0985594
367200.0,11383.1447529
370800.0,11383.8750111
374400.0,11384.0439573
378000.0,11383.6419645
381600.0,11383.1838206
385200.0,11382.8769014
388800.0,11382.7831586
392400.0,11382.9161948
396000.0,11383.2054532
399600.0,11383.5218433
403200.0,11383.8436101
406800.0,11383.9592059
410400.0,11383.6002579
414000.0,11382.4009105
417600.0,11380.9452918
421200.0,11379.564691
424800.0,11378.3702377
428400.0,11377.5734289
432000.0,11377.3480955
435600.0,11377.6472509
439200.0,11378.1926076
442800.0,11378.81263
446400.0,11379.5444939
450000.0,11380.2846384
453600.0,11380.8074448
457200.0,11380.9844088
460800.0,11380.5240881
464400.0,11379.5518875
468000.0,11378.6101
471600.0,11377.892762
475200.0,11377.4514207
478800.0,11377.114934
482400.0,11376.949831
486000.0,11376.7189488
489600.0,11376.3024759
493200.0,11375.9097921
496800.0,11375.1515744
500400.0,11373.6508228
504000.0,11372.0672284
507600.0,11370.6619172
511200.0,11369.5123692
514800.0,11368.7352794
518400.0,11368.4595572
522000.0,11368.7071165
525600.0,11369.1975856
529200.0,11369.9945512
532800.0,11370.9528989
536400.0,11371.9504613
540000.0,11372.8980551
543600.0,11373.6647007
547200.0,11374.1136497
550800.0,11374.2322965
554400.0,11374.0222708
558000.0,11373.5547743
561600.0,11372.9726316
565200.0,11372.3710817
568800.0,11371.8656435
572400.0,11371.4562942
576000.0,11371.1490908
579600.0,11370.9558841
583200.0,11370.5249797
586800.0,11369.5777281
590400.0,11368.639367
594000.0,11367.9106084
597600.0,11367.4231324
601200.0,11367.2459824
604800.0,11367.5011438
608400.0,11368.1842928
612000.0,11369.0670543
615600.0,11370.2055039
619200.0,11371.5305076
622800.0,11372.9432992
626400.0,11374.3698762
630000.0,11375.6944014
633600.0,11376.766411
637200.0,11377.6084859
640800.0,11378.2006331
644400.0,11378.4886473
648000.0,11378.5149492
651600.0,11378.3315097
655200.0,11378.1067659
658800.0,11377.9210343
662400.0,11377.7068811
666000.0,11377.5257509
669600.0,11377.221278
673200.0,11376.3855307
676800.0,11375.5077341
680400.0,11374.8234552
684000.0,11374.4329789
687600.0,11374.4674696
691200.0,11375.024925
694800.0,11376.0982479
698400.0,11377.5233184
702000.0,11379.0726596
705600.0,11380.6049535
709200.0,11381.9220049
712800.0,11383.0767098
716400.0,11384.0316438
720000.0,11384.3194106
723600.0,11383.9878265
727200.0,11383.5920724
730800.0,11383.1167217
734400.0,11382.7085661
738000.0,11382.4138616
741600.0,11382.2160159
745200.0,11381.8949577
748800.0,11381.424893
752400.0,11380.8878159
756000.0,11380.0494086
759600.0,11378.5781211
763200.0,11377.0237982
766800.0,11375.6668469
770400.0,11374.6165891
774000.0,11374.0561196
777600.0,11374.1462622
781200.0,11374.8245435
784800.0,11375.8404228
788400.0,11376.9347218
792000.0,11377.9323786
795600.0,11378.9540306
799200.0,11379.8088046
802800.0,11380.4018667
806400.0,11380.4771877
810000.0,11379.8697977
813600.0,11379.1166374
817200.0,11378.1968506
820800.0,11377.1896569
824400.0,11376.2473589
828000.0,11375.3946108
831600.0,11374.4811317
835200.0,11373.4702802
838800.0,11372.4261232
842400.0,11371.1546879
846000.0,11369.3816875
849600.0,11367.6012426
853200.0,11366.0646667
856800.0,11364.889734
860400.0,11364.1877995
864000.0,11364.1206821
867600.0,11364.6247689
871200.0,11365.5295712
874800.0,11366.5643828
878400.0,11367.695479
882000.0,11368.7722709
885600.0,11369.7551737
889200.0,11370.3794343
892800.0,11370.443289
896400.0,11369.8541234
900000.0,11369.274239
903600.0,11368.84258
907200.0,11368.600447
910800.0,11368.4611663
914400.0,11368.3169189
918000.0,11368.1629729
921600.0,11367.9699789
925200.0,11367.6690828
928800.0,11367.0060009
932400.0,11365.5935021
936000.0,11363.96602
939600.0,11362.5085503
943200.0,11361.3037953
946800.0,11360.5646668
950400.0,11360.5083109
954000.0,11361.0944635
957600.0,11361.9706445
961200.0,11362.9455698
964800.0,11364.0674281
968400.0,11365.2116196
972000.0,11366.1899943
975600.0,11366.7608039
979200.0,11366.6026225
982800.0,11365.793487
986400.0,11364.970477
990000.0,11364.148296
993600.0,11363.3596411
997200.0,11362.6542726
1000800.0,11362.1296148
1004400.0,11361.870866
1008000.0,11361.6933729
1011600.0,11361.3974837
1015200.0,11360.6644965
1018800.0,11359.1247596
1022400.0,11357.2587697
1026000.0,11355.5635624
1029600.0,11354.2729686
1033200.0,11353.3808423
1036800.0,11353.0429113
1040400.0,11353.3603782
1044000.0,11353.9831908
1047600.0,11354.7334187
1051200.0,11355.6300748
1054800.0,11356.5426807
1058400.0,11357.2817067
1062000.0,11357.7523318
1065600.0,11357.2590416
1069200.0,11356.083687
1072800.0,11354.9953914
1076400.0,11354.131976
1080000.0,11353.5517067
1083600.0,11353.256228
1087200.0,11353.2269493
1090800.0,11353.3168188
1094400.0,11353.4102067
1098000.0,11353.3285017
1101600.0,11352.7530093
1105200.0,11351.4201815
1108800.0,11349.8245942
1112400.0,11348.3938416
1116000.0,11347.2018877
1119600.0,11346.3772116
1123200.0,11346.0670591
1126800.0,11346.2905534
1130400.0,11347.0695091
1134000.0,11348.0376258
1137600.0,11349.0516016
1141200.0,11350.1310211
1144800.0,11351.1536758
1148400.0,11351.9988776
1152000.0,11352.633965
1155600.0,11352.9003673
1159200.0,11352.9636543
1162800.0,11353.0846785
1166400.0,11353.3835113
1170000.0,11353.7196967
1173600.0,11354.0071783
1177200.0,11354.2285733
1180800.0,11354.4548347
1184400.0,11354.9164062
1188000.0,11354.9709216
1191600.0,11354.1183314
1195200.0,11352.9996867
1198800.0,11352.009543
1202400.0,11351.2055135
1206000.0,11350.6861447
1209600.0,11350.6421268
1213200.0,11351.0761646
1216800.0,11351.9340366
1220400.0,11352.9992061
1224000.0,11354.092976
1227600.0,11355.2545028
1231200.0,11356.3687582
1234800.0,11357.3163754
1238400.0,11357.9180824
1242000.0,11358.1694547
1245600.0,11358.1015335
1249200.0,11357.8668418
1252800.0,11357.4078039
1256400.0,11357.1045648
1260000.0,11357.0165231
1263600.0,11357.099519
1267200.0,11357.2136994
1270800.0,11357.5778315
