Time,Demand
23,6202
22,5967
21,5692
20,5373
19,5147
18,4878
17,4558
16,4282
15,4071
14,3918
13,3821
12,3714
11,3729
10,3852
09,4040
08,4280
07,4601
06,5001
05,5488
04,5890
03,6230
02,6384
01,6642
00,6656
23,6500
22,6240
21,5874
20,5589
19,5334
18,5013
17,4675
16,4403
15,4197
14,4024
13,3931
12,3813
11,3835
10,3955
09,4124
08,4350
07,4676
06,5137
05,5613
04,5984
03,6298
02,6448
01,6654
00,6669
23,6521
22,6267
21,5947
20,5628
19,5365
18,5050
17,4706
16,4443
15,4213
14,4068
13,3952
12,3851
11,3878
10,4006
09,4164
08,4409
07,4714
06,5198
05,5721
04,6125
03,6386
02,6493
01,6686
00,6705
23,6588
22,6386
21,6105
20,5799
19,5540
18,5199
17,4859
16,4564
15,4384
14,4207
13,4096
12,3979
11,3972
10,4061
09,4209
08,4432
07,4752
06,5170
05,5623
04,5990
03,6254
02,6482
01,6635
00,6544
23,6375
22,6179
21,5906
20,5571
19,5217
18,4809
17,4408
16,4044
15,3758
14,3630
13,3703
12,3725
11,3777
10,3905
09,4071
08,4317
07,4597
06,4891
05,5224
04,5574
03,5907
02,6178
01,6566
00,6617
23,6520
22,6277
21,5953
20,5599
19,5234
18,4827
17,4420
16,4061
15,3722
14,3520
13,3539
12,3543
11,3611
10,3750
09,3918
08,4175
07,4489
06,4907
05,5337
04,5687
03,6013
02,6213
01,6428
00,6430
23,6247
22,6006
21,5673
20,5314
19,5025
18,4684
17,4389
16,4102
15,3923
14,3761
13,3627
12,3509
11,3504
10,3598
09,3733
08,3960
07,4255
06,4630
05,5069
04,5446
03,5698
02,5836
01,6037
00,5990
23,5737
22,5458
21,5177
20,4889
19,4644
18,4420
17,4196
16,4022
15,3907
14,3732
13,3600
12,3468
11,3436
10,3527
09,3685
08,3900
07,4197
06,4634
05,5185
04,5651
03,6008
02,6172
01,6314
00,6375
23,6219
22,5965
21,5675
20,5360
19,5092
18,4810
17,4511
16,4285
15,4090
14,3935
13,3807
12,3677
11,3657
10,3756
09,3897
08,4100
07,4411
06,4840
05,5346
04,5757
03,6043
02,6214
01,6421
00,6367
23,6195
22,5925
21,5599
20,5235
19,4968
18,4617
17,4268
16,4022
15,3848
14,3685
13,3566
12,3448
11,3457
10,3547
09,3682
08,3883
07,4190
06,4635
05,5091
04,5411
03,5607
02,5705
01,5833
00,5777
23,5595
22,5333
21,5011
20,4660
19,4464
18,4549
17,4366
16,4097
15,3948
14,3794
13,3650
12,3519
11,3471
10,3543
09,3687
08,3879
07,4154
06,4512
05,4836
04,5104
03,5249
02,5353
01,5478
00,5375
23,5104
22,4798
21,4567
20,4384
19,4197
18,4010
17,3825
16,3607
15,3410
14,3286
13,3371
12,3413
11,3505
10,3639
09,3807
08,4039
07,4308
06,4614
05,4949
04,5262
03,5524
02,5731
01,5875
00,5807
23,5645
22,5421
21,5104
20,4800
19,4478
18,4166
17,3850
16,3551
15,3293
14,3108
