Time,Demand
"('7.0',)",4785.11111547
"('6.0',)",5262.47351081
"('5.0',)",5436.9977391
"('4.0',)",5918.27842203
"('3.0',)",6140.96089109
"('2.0',)",6132.81201706
"('1.0',)",6400.54644517
"('0.0',)",6349.19577044
"('7.0',)",4788.73588219
"('6.0',)",5150.19661288
"('5.0',)",5528.58567097
"('4.0',)",5844.43562949
"('3.0',)",6088.3097662
"('2.0',)",6484.21016544
"('1.0',)",6841.4180927
"('0.0',)",6926.56289575
"('7.0',)",5180.66080177
"('6.0',)",5603.89782659
"('5.0',)",5820.1605346
"('4.0',)",6366.373988
"('3.0',)",6838.9115549
"('2.0',)",6551.31440806
"('1.0',)",6504.60798632
"('0.0',)",6355.40007311
"('7.0',)",4725.78838501
"('6.0',)",5074.44840507
"('5.0',)",5417.05035311
"('4.0',)",5461.26530189
"('3.0',)",5352.59345134
"('2.0',)",5666.4844004
"('1.0',)",5944.08295322
"('0.0',)",6091.93726104
"('7.0',)",4569.87473391
"('6.0',)",5074.91890362
"('5.0',)",5351.05086579
"('4.0',)",5390.53881551
"('3.0',)",5873.33420201
"('2.0',)",6203.99863058
"('1.0',)",6318.06835392
"('0.0',)",6632.74979328
"('7.0',)",4578.84888969
"('6.0',)",5064.68075944
"('5.0',)",5140.44480861
"('4.0',)",5389.06203598
"('3.0',)",5437.46530468
"('2.0',)",5656.11202195
"('1.0',)",5513.95520109
"('0.0',)",5927.93761105
"('7.0',)",4558.31275113
"('6.0',)",5075.29606828
"('5.0',)",5166.0896096
"('4.0',)",5309.3582219
"('3.0',)",5755.64100118
"('2.0',)",6283.11896609
"('1.0',)",5979.27595926
"('0.0',)",6039.68000349
"('7.0',)",4644.28551675
"('6.0',)",5145.91834864
"('5.0',)",5284.91408042
"('4.0',)",5664.64538635
"('3.0',)",5794.47727627
"('2.0',)",6210.82111778
"('1.0',)",6325.76871559
"('0.0',)",6250.95212457
"('7.0',)",4289.48676016
"('6.0',)",4413.6627085
"('5.0',)",4894.40014733
"('4.0',)",5374.67570774
"('3.0',)",5561.21736501
"('2.0',)",5797.08413216
"('1.0',)",5714.76246733
"('0.0',)",5964.9342989
"('7.0',)",3959.34715771
"('6.0',)",4238.87626624
"('5.0',)",4744.31399216
"('4.0',)",4969.46097269
"('3.0',)",5381.51586536
"('2.0',)",5843.14146094
"('1.0',)",6214.56229178
"('0.0',)",6120.67409761
"('7.0',)",4339.81923835
"('6.0',)",5012.38530351
"('5.0',)",5311.64516378
"('4.0',)",5669.99562645
"('3.0',)",6123.27036832
"('2.0',)",6407.81511267
"('1.0',)",6512.99842445
"('0.0',)",6610.10562089
"('7.0',)",4977.02904551
"('6.0',)",5307.48623617
"('5.0',)",5818.49627383
"('4.0',)",6518.02191859
"('3.0',)",6292.548192
"('2.0',)",6438.5795991
"('1.0',)",6537.21148067
"('0.0',)",6771.04701055
"('7.0',)",4824.91017361
"('6.0',)",5218.9055777
"('5.0',)",5640.99840985
"('4.0',)",5542.26869179
"('3.0',)",6003.15469336
"('2.0',)",6057.21949576
"('1.0',)",6238.09893012
"('0.0',)",6395.20668364
"('7.0',)",4395.86695982
"('6.0',)",4887.76035218
"('5.0',)",5440.5285145
"('4.0',)",5611.90636841
"('3.0',)",6167.49626773
"('2.0',)",6289.22800036
"('1.0',)",6360.90233639
"('0.0',)",6431.89648798
"('7.0',)",4923.38686302
"('6.0',)",5239.74344056
"('5.0',)",5389.57737186
"('4.0',)",5505.97875179
"('3.0',)",5796.37005937
"('2.0',)",6093.40326249
"('1.0',)",6156.77535336
"('0.0',)",6483.3505145
"('7.0',)",4735.49266124
"('6.0',)",5256.46667583
"('5.0',)",5475.36712874
"('4.0',)",5804.07930036
"('3.0',)",6190.02482723
"('2.0',)",6620.53366933
"('1.0',)",6976.53053397
"('0.0',)",7037.29649306
"('7.0',)",4876.65935739
"('6.0',)",5236.84012723
"('5.0',)",5840.20259449
"('4.0',)",5948.64742078
"('3.0',)",5972.96527634
"('2.0',)",6022.34292585
"('1.0',)",6242.03775502
"('0.0',)",6041.14128632
"('7.0',)",4437.82532635
"('6.0',)",4686.75917139
"('5.0',)",4876.3118618
"('4.0',)",4845.1089377
"('3.0',)",4884.57378186
"('2.0',)",5186.81593783
"('1.0',)",5511.70230543
"('0.0',)",5625.4396799
"('7.0',)",3832.5371639
"('6.0',)",4159.59125438
"('5.0',)",4522.86356431
"('4.0',)",5262.35013136
"('3.0',)",5536.14887699
"('2.0',)",5976.9822685
"('1.0',)",6257.04511724
"('0.0',)",5937.71957988
"('7.0',)",4224.04053458
"('6.0',)",4814.39641246
"('5.0',)",5306.3237954
"('4.0',)",5763.85297924
"('3.0',)",6146.39126619
"('2.0',)",6337.61346696
"('1.0',)",6559.11286559
"('0.0',)",6746.81426583
"('7.0',)",5031.86221555
"('6.0',)",5296.59822305
"('5.0',)",5725.86362196
"('4.0',)",5879.06622072
"('3.0',)",6078.06066976
"('2.0',)",6252.0374114
"('1.0',)",6347.86898276
"('0.0',)",6309.23085534
"('7.0',)",4383.67851444
"('6.0',)",4609.32142829
"('5.0',)",5312.71237909
"('4.0',)",5670.78286594
"('3.0',)",5985.69636344
"('2.0',)",6049.11919525
"('1.0',)",6385.20891706
"('0.0',)",6526.95856452
"('7.0',)",4530.50433479
"('6.0',)",5023.63415791
"('5.0',)",5345.05526064
"('4.0',)",5228.77760892
"('3.0',)",5487.57632877
"('2.0',)",5794.1404307
"('1.0',)",6024.96574835
"('0.0',)",6207.35251299
"('7.0',)",3959.15669402
"('6.0',)",4412.99503872
"('5.0',)",4360.96957211
"('4.0',)",5008.64978349
"('3.0',)",5204.38234808
"('2.0',)",5542.05450502
"('1.0',)",5726.18065655
"('0.0',)",5947.7165407
"('7.0',)",3887.13804954
"('6.0',)",4285.12998141
"('5.0',)",4684.94317024
"('4.0',)",5385.42186064
"('3.0',)",5810.08592367
"('2.0',)",5740.34634249
"('1.0',)",6051.20983473
"('0.0',)",5682.64200275
"('7.0',)",3919.89016452
"('6.0',)",4321.16333833
"('5.0',)",4549.38563754
"('4.0',)",5025.6922098
"('3.0',)",4989.20855579
"('2.0',)",5463.46587238
"('1.0',)",5827.9651725
"('0.0',)",5673.30925283
"('7.0',)",4124.12351981
"('6.0',)",4429.96280347
"('5.0',)",4746.00055796
"('4.0',)",4896.77130964
"('3.0',)",5498.26224602
"('2.0',)",5758.5224579
"('1.0',)",5895.86346554
"('0.0',)",5980.3476097
"('7.0',)",4372.33681977
"('6.0',)",5050.23666793
"('5.0',)",5323.75859942
"('4.0',)",5392.44704942
"('3.0',)",5693.0590758
"('2.0',)",5858.57864834
"('1.0',)",6005.67050038
"('0.0',)",6209.34923449
"('7.0',)",4588.64509299
"('6.0',)",5154.04752685
"('5.0',)",5562.17740783
"('4.0',)",5845.25032597
"('3.0',)",6083.28526508
"('2.0',)",6416.08968437
"('1.0',)",6629.15640053
"('0.0',)",6445.10004946
"('7.0',)",4516.64890949
"('6.0',)",4899.78207744
"('5.0',)",5335.97714828
"('4.0',)",5622.8567457
"('3.0',)",5759.21263649
"('2.0',)",6135.17327817
"('1.0',)",6015.49744953
"('0.0',)",5905.81206005
"('7.0',)",4238.27321789
"('6.0',)",4950.40093004
"('5.0',)",5233.13785707
"('4.0',)",5512.52613623
"('3.0',)",5832.46366262
"('2.0',)",5898.02423263
"('1.0',)",5631.46363658
"('0.0',)",5928.46299899
"('7.0',)",3921.93324343
"('6.0',)",4228.10832838
"('5.0',)",4362.18932883
"('4.0',)",4801.18778202
"('3.0',)",5113.68431157
"('2.0',)",5151.50479671
"('1.0',)",5291.82634194
"('0.0',)",5530.08860467
"('7.0',)",3894.78981954
"('6.0',)",4252.61597632
"('5.0',)",4676.25541984
"('4.0',)",4930.41462728
"('3.0',)",5145.62072516
"('2.0',)",5306.64492926
"('1.0',)",5463.40822949
"('0.0',)",5273.74620812
"('7.0',)",3360.17454175
"('6.0',)",3787.85566572
"('5.0',)",4161.37103601
"('4.0',)",4730.02626632
"('3.0',)",5316.07929116
"('2.0',)",5905.24237817
"('1.0',)",5867.98903533
"('0.0',)",6008.43278658
"('7.0',)",4306.51765474
"('6.0',)",4810.54609988
"('5.0',)",5370.26876684
"('4.0',)",5450.0998291
"('3.0',)",5819.87720218
"('2.0',)",6026.5386938
"('1.0',)",5868.55776224
"('0.0',)",5930.53540822
"('7.0',)",4111.26812917
"('6.0',)",4722.61239945
"('5.0',)",5242.6898519
"('4.0',)",5278.30710988
"('3.0',)",5518.50264285
"('2.0',)",5715.58318125
"('1.0',)",5533.7991879
"('0.0',)",5278.37290814
"('7.0',)",3966.61255311
"('6.0',)",5072.60148189
"('5.0',)",5361.63936733
"('4.0',)",5270.23924701
"('3.0',)",5459.488744
"('2.0',)",5642.4397956
"('1.0',)",5881.51047212
"('0.0',)",5970.64163286
"('7.0',)",4372.44902548
"('6.0',)",4496.48847467
"('5.0',)",4741.06162576
"('4.0',)",4856.93301059
"('3.0',)",4613.88259922
"('2.0',)",4604.32320684
"('1.0',)",4457.296875
"('0.0',)",5130.10731329
"('7.0',)",3477.78506431
"('6.0',)",3699.65520778
"('5.0',)",3852.86686154
"('4.0',)",4435.19279905
"('3.0',)",4555.20163862
"('2.0',)",4938.14724537
"('1.0',)",5410.40090424
"('0.0',)",5931.21913399
"('7.0',)",4215.52338874
"('6.0',)",4409.23790655
"('5.0',)",5077.71111724
"('4.0',)",5660.93764066
"('3.0',)",5854.69046469
"('2.0',)",6028.31981857
"('1.0',)",6362.65020726
"('0.0',)",6318.36781273
"('7.0',)",4658.74003673
"('6.0',)",5149.45611122
"('5.0',)",5511.90570216
"('4.0',)",5888.18491492
"('3.0',)",6444.84229672
"('2.0',)",6649.9416299
"('1.0',)",6916.05335712
